Date,p1_test,p1_isolation,p1_quar,p1_infected,p1_recovered,p1_death
3/29/20,6,18,259,0,0,0
3/30/20,16,13,438,0,0,0
3/31/20,28,24,630,0,0,0
4/1/20,16,27,681,0,0,0
4/2/20,14,23,758,0,0,0
4/3/20,43,18,798,0,0,0
4/4/20,46,18,860,0,0,0
4/5/20,164,20,852,0,0,0
4/6/20,39,17,902,0,0,0
4/7/20,42,14,717,0,0,0
4/8/20,124,15,700,0,0,0
4/9/20,125,14,723,0,0,0
4/10/20,164,17,747,0,0,0
4/11/20,153,13,761,0,0,0
4/12/20,166,14,683,0,0,0
4/13/20,58,18,670,0,0,0
4/14/20,100,17,626,0,0,0
4/15/20,32,20,676,0,0,0
4/16/20,32,20,676,0,0,0
4/17/20,0,23,691,12,0,0
4/18/20,236,21,709,13,0,0
4/19/20,272,47,785,13,0,0
4/20/20,314,53,949,13,0,0
4/21/20,147,53,1062,24,0,0
4/22/20,194,66,1152,27,0,0
4/23/20,264,58,1107,29,0,0
4/24/20,24,63,1219,30,0,0
4/25/20,13,65,1234,30,0,0
4/26/20,138,67,1735,31,0,0
4/27/20,551,63,2070,31,0,0
4/28/20,178,64,2248,31,0,0
4/29/20,86,43,2297,31,0,0
4/30/20,86,44,2330,31,0,0
5/1/20,90,46,2311,31,0,0
5/2/20,88,46,2297,31,0,0
5/3/20,88,58,2182,31,0,0
5/4/20,167,59,1954,31,0,0
5/5/20,151,43,1969,31,0,0
5/6/20,98,44,1803,31,6,0
5/7/20,95,44,1735,31,6,0
5/8/20,99,40,1660,31,14,0
5/9/20,106,40,1572,34,14,0
5/10/20,111,42,1523,35,14,0
5/11/20,109,42,1525,35,16,0
5/12/20,114,39,1516,35,16,0
5/13/20,114,41,1466,35,16,0
5/14/20,157,40,1480,35,16,0
5/15/20,156,41,1501,36,16,0
5/16/20,148,41,1503,36,16,0
5/17/20,119,39,1561,39,16,0
5/18/20,113,38,1517,43,16,0
5/19/20,130,41,1573,54,17,0
5/20/20,130,42,1660,59,17,0
5/21/20,227,43,1671,84,17,0
5/22/20,207,46,1745,85,26,0
5/23/20,380,41,1723,86,26,0
5/24/20,285,41,1839,87,26,0
5/25/20,245,40,1863,87,26,0
5/26/20,392,40,1862,87,26,0
5/27/20,603,39,1789,104,30,0
5/28/20,622,40,1849,130,30,0
5/29/20,495,40,2027,158,30,0
5/30/20,663,40,2093,161,30,0
5/31/20,468,41,2132,166,30,0
6/1/20,491,42,2137,169,30,0
6/2/20,1091,43,2158,170,30,0
6/3/20,849,45,2188,187,48,0
6/4/20,1186,38,2225,198,48,0
6/5/20,1116,43,2335,242,53,0
6/6/20,1183,43,2318,249,53,0
6/7/20,971,44,2398,259,53,0
6/8/20,1229,45,2281,279,65,0
6/9/20,1344,45,2341,284,65,0
6/10/20,1240,44,2256,301,65,0
6/11/20,1267,39,2202,307,68,0
6/12/20,1350,40,2209,337,68,0
6/13/20,1286,40,2141,346,68,0
6/14/20,1305,39,2114,373,68,0
6/15/20,1290,39,2113,399,68,0
6/16/20,1297,39,2112,404,98,0
6/17/20,1893,43,2048,419,98,0
6/18/20,1287,46,2115,422,98,0
6/19/20,1353,46,2110,428,146,0
6/20/20,1344,41,2093,439,146,0
6/21/20,1343,40,2137,454,156,0
