Date,p4_test,p4_isolation,p4_quar,p4_infected,p4_recovered,p4_death
3/29/20,3,3,38,1,0,0
3/30/20,240,8,255,1,0,0
3/31/20,11,12,593,1,0,0
4/1/20,25,8,1149,1,0,0
4/2/20,72,10,1197,2,0,0
4/3/20,55,9,1102,2,0,0
4/4/20,40,12,1132,2,0,0
4/5/20,109,11,932,2,0,0
4/6/20,12,8,922,2,0,0
4/7/20,67,9,900,2,0,0
4/8/20,152,10,975,2,0,0
4/9/20,138,10,929,2,0,0
4/10/20,166,9,927,2,0,0
4/11/20,179,20,932,2,0,0
4/12/20,101,10,890,2,0,0
4/13/20,99,12,296,2,0,0
4/14/20,195,12,753,2,0,0
4/15/20,166,12,527,2,0,0
4/16/20,166,12,527,2,0,0
4/17/20,5,3,93,2,0,0
4/18/20,84,3,104,2,1,0
4/19/20,76,1,119,2,1,0
4/20/20,185,2,114,2,1,0
4/21/20,39,2,123,2,1,0
4/22/20,206,1,145,2,1,0
4/23/20,24,1,185,2,1,0
4/24/20,213,1,212,2,2,0
4/25/20,100,0,331,2,2,0
4/26/20,213,0,518,2,2,0
4/27/20,249,0,598,2,2,0
4/28/20,49,1,616,2,2,0
4/29/20,319,1,652,2,2,0
4/30/20,146,5,648,2,2,0
5/1/20,86,5,660,2,2,0
5/2/20,218,16,710,2,2,0
5/3/20,218,1,646,2,2,0
5/4/20,221,1,645,2,2,0
5/5/20,146,0,650,2,2,0
5/6/20,244,16,640,2,2,0
5/7/20,144,16,616,2,2,0
5/8/20,145,16,616,2,2,0
5/9/20,143,16,621,2,2,0
5/10/20,156,16,613,2,2,0
5/11/20,240,16,596,2,2,0
5/12/20,145,16,608,2,2,0
5/13/20,165,16,642,3,2,0
5/14/20,196,0,642,4,2,0
5/15/20,164,0,674,4,2,0
5/16/20,171,0,683,4,2,0
5/17/20,180,0,701,4,2,0
5/18/20,160,0,718,4,2,0
5/19/20,404,0,798,4,2,0
5/20/20,330,1,800,4,2,0
5/21/20,259,0,815,4,2,0
5/22/20,258,0,807,4,2,0
5/23/20,217,0,837,5,2,0
5/24/20,206,0,858,5,2,0
5/25/20,216,0,874,5,2,0
5/26/20,251,0,873,7,2,0
5/27/20,278,0,1152,13,2,0
5/28/20,322,0,1276,17,2,0
5/29/20,205,6,907,20,2,0
5/30/20,192,6,953,20,2,0
5/31/20,210,6,974,23,2,0
6/1/20,477,2,1677,27,2,0
6/2/20,401,7,1776,38,2,0
6/3/20,386,7,1773,38,2,0
6/4/20,314,7,1896,54,2,0
6/5/20,329,7,1897,58,2,0
6/6/20,199,15,1941,72,2,0
6/7/20,272,15,1997,110,2,0
6/8/20,219,13,2064,112,2,1
6/9/20,209,16,2060,139,2,1
6/10/20,203,16,2114,144,2,1
6/11/20,218,16,2166,144,2,1
6/12/20,254,32,2160,185,2,1
6/13/20,221,32,2169,189,2,1
6/14/20,370,36,2207,191,2,1
6/15/20,320,36,2201,196,2,1
6/16/20,227,43,2265,219,29,1
6/17/20,261,43,2262,239,29,1
6/18/20,322,44,2266,316,29,1
6/19/20,251,50,2261,399,29,1
6/20/20,259,54,2274,475,29,1
6/21/20,325,49,2276,522,32,1
6/22/20,238,50,2299,590,75,1
6/23/20,270,51,2320,720,99,1
6/24/20,299,63,2166,770,122,1
6/25/20,253,67,2163,793,122,2
6/26/20,259,67,2179,834,122,2
6/27/20,295,54,2185,870,139,2
6/28/20,308,55,2240,947,139,2
6/29/20,257,55,2304,996,190,2
6/30/20,262,62,2300,1021,190,2
7/1/20,259,63,2259,1061,362,2
7/2/20,234,66,2268,1087,376,3
7/3/20,279,58,2269,1202,404,3
7/4/20,228,64,2280,1217,404,4
7/5/20,245,64,2282,1226,409,4
7/6/20,239,53,2281,1259,433,5
7/7/20,243,53,2298,1267,534,5
7/8/20,253,63,2305,1288,555,5
7/9/20,221,67,2298,1306,556,5
7/10/20,215,64,2194,1317,565,5
7/11/20,231,66,2265,1333,580,5
7/12/20,239,66,2285,1348,585,5
7/13/20,252,45,2288,1356,748,5
7/14/20,220,45,2295,1361,748,5
7/15/20,227,35,2288,1388,818,5
7/16/20,245,38,2289,1408,838,5
7/17/20,275,38,2269,1440,875,5
7/18/20,240,38,2269,1442,882,5
7/19/20,239,44,2258,1464,884,5
7/20/20,234,52,2253,1476,922,5
7/21/20,283,52,2261,1488,995,5
7/22/20,217,52,2245,1501,1008,6
7/23/20,239,47,2254,1507,1063,6
7/24/20,267,51,2244,1521,1069,6
7/25/20,267,51,2244,1525,1090,6
7/26/20,267,51,2244,1533,1095,6
7/27/20,249,51,2184,1536,1136,6
7/28/20,228,52,2183,1565,1157,6
7/29/20,269,52,2186,1607,1190,6
7/30/20,269,52,2186,1641,1215,6
7/31/20,259,64,2125,1649,1218,6
8/1/20,259,64,2125,1650,1218,6
8/2/20,277,65,2098,1674,1218,6
8/3/20,277,65,2098,1683,1227,6
8/4/20,301,64,2105,1692,1227,6
8/5/20,278,74,2117,1715,1255,6
8/6/20,278,74,2117,1723,1281,6
8/7/20,325,72,2114,1738,1292,6
8/8/20,295,72,2114,1762,1307,6
8/9/20,511,72,2142,1767,1307,7
8/10/20,248,65,2146,1776,1307,7
8/11/20,274,69,2143,1789,1307,7
8/12/20,264,92,2174,1812,1308,7
8/13/20,306,95,2141,1820,1334,7
8/14/20,277,84,2155,1849,1348,7
8/15/20,291,95,2154,1868,1369,7
8/16/20,317,105,2114,1890,1369,7
8/17/20,240,116,2105,1911,1369,7
8/18/20,348,118,2074,1940,1381,9
8/19/20,291,120,2066,1967,1381,9
8/20/20,256,139,2049,2001,1381,9
8/21/20,310,131,2053,2028,1389,9
8/22/20,310,131,2053,2051,1396,9
8/23/20,269,144,2051,2064,1418,9
8/24/20,385,147,2033,2079,1418,9
8/25/20,322,141,2013,2108,1426,9
8/26/20,330,145,1986,2143,1431,9
8/27/20,372,142,1980,2186,1453,10
8/28/20,408,157,1984,2221,1453,11
8/29/20,201,156,1988,2276,1471,13
8/30/20,291,160,1977,2295,1494,13
8/31/20,292,161,1972,2349,1536,14
9/1/20,281,163,1978,2414,1630,14
9/2/20,283,184,1974,2480,1712,15
9/3/20,259,192,1974,2535,1771,16
9/4/20,412,200,1973,2640,1854,17
9/5/20,314,222,1960,2720,1868,17
9/6/20,425,242,1968,2792,1957,17
9/7/20,344,274,1968,2878,2038,18
9/8/20,280,301,1972,2950,2103,18
9/9/20,70,666,2301,2973,2150,19
9/10/20,97,769,2264,3032,2217,20
9/11/20,136,693,2451,3107,2238,20
9/12/20,120,827,2451,3211,2307,24
9/13/20,83,834,2459,3284,2362,25
9/14/20,78,883,2459,3375,2396,26
9/15/20,122,1033,2599,3436,2500,26
9/16/20,54,1048,2601,3504,2556,27
9/17/20,70,1014,2604,3546,2616,27
9/18/20,95,1097,2606,3694,2629,27
9/19/20,115,1110,2606,3771,2718,27
9/20/20,61,1118,2607,3824,2799,27
9/21/20,136,1113,2611,3845,2831,27
9/22/20,120,1065,2733,3916,2868,27
9/23/20,118,1054,2735,3973,2919,27
9/24/20,144,1047,2744,4049,2953,28
9/25/20,112,1045,2719,4126,2976,28
9/26/20,106,1053,2719,4150,3037,28
9/27/20,117,1074,2709,4246,3055,28
