Date,p2_test,p2_isolation,p2_quar,p2_infected,p2_recovered,p2_death
3/29/20,3,0,251,0,0,0
3/30/20,3,0,336,0,0,0
3/31/20,4,0,400,0,0,0
4/1/20,4,2,515,0,0,0
4/2/20,28,10,625,0,0,0
4/3/20,76,9,763,0,0,0
4/4/20,122,13,874,0,0,0
4/5/20,124,12,892,0,0,0
4/6/20,17,15,920,0,0,0
4/7/20,161,11,953,0,0,0
4/8/20,228,13,946,0,0,0
4/9/20,240,18,946,0,0,0
4/10/20,236,10,1041,0,0,0
4/11/20,245,13,1090,0,0,0
4/12/20,277,13,1120,3,0,0
4/13/20,309,12,1109,4,0,0
4/14/20,399,11,1175,4,0,0
4/15/20,33,10,950,4,0,0
4/16/20,33,10,950,4,0,0
4/17/20,17,10,1174,4,0,0
4/18/20,89,19,1251,4,0,0
4/19/20,7,18,1192,4,0,0
4/20/20,178,12,1173,4,0,0
4/21/20,71,10,1175,4,0,0
4/22/20,244,8,1132,4,0,0
4/23/20,235,11,1231,5,0,0
4/24/20,669,15,1354,5,0,0
4/25/20,53,25,1458,5,0,0
4/26/20,252,23,1489,7,4,0
4/27/20,71,19,1512,7,4,0
4/28/20,0,9,1404,9,4,0
4/29/20,287,14,1383,12,4,0
4/30/20,399,14,1378,12,4,0
5/1/20,391,14,1400,12,4,0
5/2/20,407,15,1359,12,4,0
5/3/20,460,15,1356,13,4,0
5/4/20,460,16,1374,13,4,0
5/5/20,460,16,1362,13,4,0
5/6/20,460,15,1391,30,2,0
5/7/20,468,21,1397,30,2,0
5/8/20,460,8,1422,30,2,0
5/9/20,460,10,1443,31,2,0
5/10/20,512,8,1477,31,2,0
5/11/20,19,7,1480,32,2,0
5/12/20,10,7,1494,95,2,0
5/13/20,37,7,1569,98,2,0
5/14/20,503,6,1727,99,2,0
5/15/20,0,13,1957,103,2,0
5/16/20,85,13,2139,110,2,0
5/17/20,161,15,2303,120,2,0
5/18/20,628,14,2667,133,2,0
5/19/20,6,15,2905,135,2,0
5/20/20,6,16,3210,135,2,0
5/21/20,22,16,3395,135,2,0
5/22/20,46,18,4701,157,2,0
5/23/20,56,19,4972,171,2,0
5/24/20,0,19,5213,177,9,0
5/25/20,2,20,5617,233,29,1
5/26/20,3,25,6332,266,71,1
5/27/20,40,37,6735,322,92,1
5/28/20,21,64,7421,415,96,1
5/29/20,16,95,7817,489,96,1
5/30/20,140,104,7906,546,96,1
5/31/20,51,121,8883,623,96,1
6/1/20,0,172,11294,693,96,1
6/2/20,80,225,11435,814,96,1
6/3/20,174,238,11477,859,97,1
6/4/20,42,281,11398,962,106,1
6/5/20,263,285,11530,992,106,1
6/6/20,196,291,11491,1076,106,1
6/7/20,1385,306,11159,1160,106,1
6/8/20,249,355,11129,1341,119,1
6/9/20,96,376,10903,1493,119,1
6/10/20,367,357,10872,1591,119,1
6/11/20,185,379,10657,1670,148,1
6/12/20,226,379,10576,1873,178,1
6/13/20,108,398,10454,1986,178,3
6/14/20,151,402,9844,2105,178,3
6/15/20,95,414,9781,2279,178,3
6/16/20,1724,424,9765,2463,468,3
6/17/20,1691,321,9478,2830,477,3
6/18/20,4174,418,9856,2896,481,3
6/19/20,11103,1188,12665,2911,609,3
6/20/20,6956,1151,12532,2955,609,3
6/21/20,8617,1153,13157,3027,647,3
6/22/20,8985,1179,12254,3157,953,3
6/23/20,7283,1202,12154,3252,969,3
6/24/20,9048,1238,12096,3355,1008,3
6/25/20,6864,1240,11520,3423,1243,3
