Date,p2_test,p2_isolation,p2_quar,p2_infected,p2_recovered,p2_death
6/26/20,7147,1242,11394,3501,1248,3
6/27/20,6897,1242,11286,3589,1255,3
6/28/20,7051,1239,11172,3673,1395,3
6/29/20,7051,1234,11111,3720,1448,4
6/30/20,7119,1279,10313,3802,1484,4
7/1/20,7119,1267,10154,3863,1583,4
7/2/20,7119,1267,10154,3916,1676,4
7/3/20,7119,1233,10024,3971,1849,4
7/4/20,7119,1178,10095,4059,1913,4
7/5/20,9408,1174,10017,4136,1942,4
7/6/20,7119,1180,10088,4160,2008,4
7/7/20,7119,1178,9994,4185,2208,4
7/8/20,7119,1179,9919,4229,2252,4
7/9/20,7119,1167,9858,4238,2303,4
7/10/20,7119,1170,9888,4258,2348,4
7/11/20,6946,1213,9555,4263,2453,4
7/12/20,6946,1215,9522,4283,2528,4
7/13/20,6946,1215,9505,4324,3120,4
7/14/20,6946,1215,9504,4368,3154,4
7/15/20,6946,1215,9504,4392,3342,5
7/16/20,6946,1215,9504,4434,3388,5
7/17/20,9747,1216,9490,4456,3487,6
7/18/20,9747,1216,9490,4459,3487,6
7/19/20,9747,1216,9490,4527,3495,6
7/20/20,9747,1216,9490,4612,3563,6
7/21/20,9747,1216,9490,4661,3613,6
7/22/20,9747,1216,9490,4696,3670,7
7/23/20,9747,1216,9490,4723,3688,8
7/24/20,9747,1216,9490,4765,3710,9
7/25/20,9747,1216,9490,4789,3731,10
7/26/20,9747,1216,9490,4799,3736,12
7/27/20,9747,1216,9490,4861,3871,13
7/28/20,9747,1216,9490,4914,3905,13
7/29/20,9747,1216,9490,4978,3944,13
7/30/20,6946,1169,9160,5068,4043,15
7/31/20,6946,1169,9153,5119,4082,19
8/1/20,6946,1169,9153,5199,4147,19
8/2/20,6946,1169,9153,5324,4221,20
8/3/20,6946,1169,9127,5518,4415,20
8/4/20,6946,1178,9090,5596,4415,20
8/5/20,6946,1178,9099,5821,4439,22
8/6/20,6946,1178,9099,5917,4465,25
8/7/20,6946,1181,9247,6111,4559,30
8/8/20,6946,1168,9298,6251,4655,31
8/9/20,6946,1168,9298,6406,4655,32
8/10/20,6946,1168,9298,6499,4749,33
8/11/20,6946,1168,9298,6732,4809,35
8/12/20,6946,1168,9298,6878,4810,39
8/13/20,6946,1168,9298,7044,4810,41
8/14/20,6946,1196,9348,7254,4848,44
8/15/20,6946,1203,9277,7381,4853,46
8/16/20,6946,1203,9277,7589,4864,47
8/17/20,6946,1203,9277,7759,4982,48
8/18/20,6946,1203,9277,8180,5008,49
8/19/20,6946,1203,9277,8398,5048,49
8/20/20,6946,1203,9277,8646,5182,53
8/21/20,6946,1203,9277,8825,5262,57
8/22/20,6946,1306,9065,8939,5266,62
8/23/20,6946,1306,9065,9329,5348,64
8/24/20,6946,1306,9065,9500,5395,65
8/25/20,6946,1306,9065,9688,5442,68
8/26/20,6946,1299,9001,9918,5620,79
8/27/20,6946,1299,9001,10129,5770,81
8/28/20,6946,1299,9001,10220,5814,84
8/29/20,6946,1299,9001,10501,5841,87
8/30/20,13951,1303,8943,10807,5842,92
8/31/20,6946,1303,8943,11032,5993,94
9/1/20,6946,1303,8943,11073,6103,101
9/2/20,6946,1303,8943,11334,6332,102
9/3/20,6946,1303,8943,11693,6643,102
9/4/20,6946,1303,8943,11939,7185,106
9/5/20,6946,1303,8943,12073,7565,108
9/6/20,6946,1303,8943,12214,8163,110
9/7/20,6946,1290,8908,12341,8646,113
9/8/20,6946,1290,8908,12440,9313,115
9/9/20,0,1864,579,12651,9589,115
9/10/20,8580,1909,472,12786,10001,115
9/11/20,0,1965,449,12854,10061,117
9/12/20,0,1965,449,12992,10177,118
9/13/20,266,2004,446,13045,10232,118
9/14/20,0,2004,446,13111,10458,119
9/15/20,0,1969,442,13346,10521,119
9/16/20,0,1969,442,13677,10860,119
9/17/20,398,2246,432,13764,11076,119
9/18/20,398,2246,432,13940,11333,119
9/19/20,108,2255,415,14104,11590,121
9/20/20,0,2253,401,14180,11801,122
9/21/20,0,2253,401,14289,11978,123
9/22/20,78,2199,343,14372,12057,123
9/23/20,29,2230,351,14426,12116,124
9/24/20,7,2214,358,14513,12148,127
9/25/20,51,2235,365,14660,12343,128
9/26/20,60,2207,366,14715,12738,129
9/27/20,0,2203,348,14782,12775,130
