Date,p6_test,p6_isolation,p6_quar,p6_infected,p6_recovered,p6_death
8/29/20,3407,202,2753,2491,1896,4
8/30/20,3133,199,2753,2491,1922,4
8/31/20,3133,199,2732,2530,1928,4
9/1/20,3133,199,2732,2536,1974,4
9/2/20,2726,284,2684,2595,2039,4
9/3/20,2976,276,2678,2613,2124,4
9/4/20,2832,276,2693,2669,2256,5
9/5/20,2951,264,2749,2677,2265,5
9/6/20,2949,265,2749,2731,2299,5
9/7/20,2910,306,2850,2757,2335,5
9/8/20,2686,306,2856,2776,2347,5
9/9/20,238,399,528,2801,2381,5
9/10/20,766,349,595,2818,2441,5
9/11/20,581,319,651,2845,2468,5
9/12/20,174,319,651,2867,2472,5
9/13/20,237,290,632,2878,2487,5
9/14/20,237,284,672,2929,2497,5
9/15/20,0,284,765,2956,2564,5
9/16/20,0,285,778,3008,2580,5
9/17/20,213,376,844,3020,2616,5
9/18/20,213,376,844,3161,2667,5
9/19/20,219,409,736,3166,2690,5
9/20/20,955,426,708,3196,2695,5
9/21/20,116,444,671,3235,2751,5
9/22/20,0,483,702,3280,2796,5
9/23/20,291,496,713,3329,2799,5
9/24/20,273,495,685,3338,2835,5
9/25/20,273,495,685,3362,2848,5
9/26/20,273,495,685,3363,2863,5
9/27/20,179,529,765,3455,2863,5
