Date,p6_test,p6_isolation,p6_quar,p6_infected,p6_recovered,p6_death
3/29/20,3,2,20,0,0,0
3/30/20,15,4,680,0,0,0
3/31/20,15,5,919,0,0,0
4/1/20,20,2,846,0,0,0
4/2/20,20,1,843,0,0,0
4/3/20,22,1,841,0,0,0
4/4/20,23,1,694,0,0,0
4/5/20,548,4,630,0,0,0
4/6/20,6,2,618,0,0,0
4/7/20,24,1,692,0,0,0
4/8/20,48,4,703,0,0,0
4/9/20,373,4,704,0,0,0
4/10/20,88,4,718,0,0,0
4/11/20,97,6,685,0,0,0
4/12/20,186,1,385,0,0,0
4/13/20,112,1,330,0,0,0
4/14/20,81,0,293,0,0,0
4/15/20,100,0,323,0,0,0
4/16/20,100,0,323,0,0,0
4/17/20,9,3,331,0,0,0
4/18/20,54,3,435,0,0,0
4/19/20,50,3,557,0,0,0
4/20/20,13,6,696,0,0,0
4/21/20,14,8,869,0,0,0
4/22/20,32,7,1162,0,0,0
4/23/20,16,1,1586,0,0,0
4/24/20,17,1,1636,0,0,0
4/25/20,27,1,2706,0,0,0
4/26/20,140,1,3125,0,0,0
4/27/20,38,1,3789,0,0,0
4/28/20,17,1,3963,0,0,0
4/29/20,17,1,4084,0,0,0
4/30/20,65,1,4119,0,0,0
5/1/20,77,1,3843,0,0,0
5/2/20,28,1,3637,0,0,0
5/3/20,12,2,3418,0,0,0
5/4/20,19,0,3467,0,0,0
5/5/20,25,0,3446,0,0,0
5/6/20,28,1,2819,0,0,0
5/7/20,37,1,2514,0,0,0
5/8/20,19,1,2178,0,0,0
5/9/20,24,1,1994,0,0,0
5/10/20,13,0,1547,0,0,0
5/11/20,19,0,1482,0,0,0
5/12/20,17,1,1334,0,0,0
5/13/20,554,0,1259,0,0,0
5/14/20,19,3,1061,0,0,0
5/15/20,181,4,1046,0,0,0
5/16/20,354,4,1040,0,0,0
5/17/20,124,3,1155,0,0,0
5/18/20,114,3,1147,1,0,0
5/19/20,510,3,1193,1,0,0
5/20/20,151,3,1241,1,0,0
5/21/20,554,3,1278,1,0,0
5/22/20,878,1,1875,1,0,0
5/23/20,1212,1,2061,4,0,0
5/24/20,898,1,2190,4,0,0
5/25/20,750,6,3476,11,0,0
5/26/20,784,18,5101,25,0,0
5/27/20,819,19,7269,25,0,0
5/28/20,773,34,8157,47,0,0
5/29/20,737,33,9792,47,0,0
5/30/20,801,33,11349,61,0,0
5/31/20,831,52,12754,123,0,1
6/1/20,796,56,15167,198,0,1
6/2/20,656,71,16895,252,0,1
6/3/20,758,85,18204,269,0,2
6/4/20,1668,111,18470,383,0,3
6/5/20,1532,112,19047,478,0,3
6/6/20,1766,115,18901,579,0,3
6/7/20,1858,153,19068,633,0,3
6/8/20,1941,128,18827,649,0,3
6/9/20,1837,157,19153,667,0,3
6/10/20,1942,147,18280,704,0,3
6/11/20,1873,171,17388,759,6,3
6/12/20,2533,189,16348,842,6,3
6/13/20,2307,228,14948,912,6,3
6/14/20,2278,234,14324,982,6,3
6/15/20,2382,211,13493,1094,6,3
6/16/20,261,216,12875,1104,187,3
6/17/20,725,218,11602,1147,187,3
6/18/20,3081,250,10508,1268,195,3
6/19/20,2958,253,8823,1268,201,3
6/20/20,3326,255,8471,1269,201,3
6/21/20,2856,342,9187,1278,225,3
6/22/20,2976,369,8831,1279,225,3
6/23/20,2868,356,7626,1330,225,4
6/24/20,2799,362,7174,1350,225,4
6/25/20,2755,362,6795,1389,265,4
6/26/20,3308,313,6736,1416,265,4
6/27/20,2514,310,6202,1437,278,4
6/28/20,4213,291,5766,1440,278,4
6/29/20,2597,283,5392,1445,278,4
6/30/20,2706,272,5343,1458,279,4
7/1/20,3106,308,4962,1500,491,4
7/2/20,3352,270,4945,1504,678,4
7/3/20,2927,254,4847,1568,725,4
7/4/20,2927,253,4740,1569,789,4
7/5/20,3388,241,4696,1608,808,4
7/6/20,3057,206,4711,1610,829,4
7/7/20,3187,196,4031,1623,901,4
7/8/20,3041,203,3901,1653,929,4
7/9/20,2810,189,3712,1676,986,4
7/10/20,2648,172,3748,1691,987,4
7/11/20,2610,169,3752,1698,1094,4
7/12/20,2725,182,3647,1719,1105,4
7/13/20,2558,182,3641,1765,1257,4
7/14/20,2728,242,3646,1776,1257,4
7/15/20,2735,240,3685,1816,1375,4
7/16/20,2776,257,3543,1831,1414,4
7/17/20,2600,254,3114,1833,1416,4
7/18/20,2730,245,3374,1842,1416,4
7/19/20,3351,245,3388,1843,1425,4
7/20/20,3374,249,3292,1854,1426,4
7/21/20,3407,233,3248,1866,1561,4
7/22/20,3207,214,3263,1890,1585,4
7/23/20,3247,207,3291,1920,1586,4
7/24/20,3401,193,3206,1931,1594,4
7/25/20,2646,198,3116,1957,1622,4
7/26/20,2643,200,3124,1986,1639,4
7/27/20,2561,152,2924,2017,1695,4
7/28/20,2476,133,2922,2021,1695,4
7/29/20,2573,128,2869,2022,1696,4
7/30/20,2867,128,2840,2046,1716,4
7/31/20,2788,127,2866,2048,1718,4
8/1/20,2908,122,2864,2049,1718,4
8/2/20,2748,122,2903,2049,1718,4
8/3/20,2762,122,2897,2055,1722,4
8/4/20,2881,115,2872,2059,1726,4
8/5/20,2871,111,2862,2070,1726,4
8/6/20,2821,118,2860,2074,1730,4
8/7/20,2924,114,2927,2079,1748,4
8/8/20,2924,114,2927,2084,1755,4
8/9/20,3089,121,3060,2093,1755,4
8/10/20,2806,116,3010,2118,1755,4
8/11/20,2870,122,2999,2131,1762,4
8/12/20,2943,141,2969,2156,1764,4
8/13/20,2977,156,2923,2157,1766,4
8/14/20,3183,156,2903,2183,1767,4
8/15/20,3183,156,2903,2191,1768,4
8/16/20,2942,154,2882,2193,1768,4
8/17/20,3120,160,2896,2199,1768,4
8/18/20,3119,156,2867,2206,1769,4
8/19/20,3376,166,2874,2250,1769,4
8/20/20,3597,177,2871,2274,1769,4
8/21/20,3261,178,2848,2332,1795,4
8/22/20,2959,177,2869,2342,1804,4
8/23/20,3049,200,2848,2350,1814,4
8/24/20,2813,203,2840,2401,1814,4
8/25/20,2750,203,2854,2421,1858,4
8/26/20,2954,203,2870,2431,1866,4
8/27/20,2783,214,2855,2457,1877,4
8/28/20,2923,204,2823,2477,1877,4
