Date,p3_test,p3_isolation,p3_quar,p3_infected,p3_recovered,p3_death
3/29/20,28,1,42,3,1,0
3/30/20,81,24,165,3,1,0
3/31/20,110,55,216,3,1,0
4/1/20,104,21,258,3,1,0
4/2/20,119,21,725,3,1,0
4/3/20,112,14,880,3,1,0
4/4/20,248,20,397,3,1,0
4/5/20,306,34,377,3,1,0
4/6/20,7,36,308,3,1,0
4/7/20,306,23,244,3,1,0
4/8/20,209,24,76,3,1,0
4/9/20,588,51,73,3,1,0
4/10/20,456,45,122,3,1,0
4/11/20,372,26,154,3,1,0
4/12/20,525,30,77,3,1,0
4/13/20,371,23,77,3,1,0
4/14/20,304,33,85,5,1,0
4/15/20,9,50,80,5,1,0
4/16/20,9,50,80,5,1,0
4/17/20,49,52,111,7,1,0
4/18/20,389,47,152,7,2,0
4/19/20,76,50,139,7,2,0
4/20/20,387,44,114,7,2,0
4/21/20,66,55,110,7,2,0
4/22/20,143,73,169,7,3,0
4/23/20,33,43,94,7,5,0
4/24/20,69,38,97,7,5,0
4/25/20,65,14,98,7,6,0
4/26/20,10,35,182,7,6,0
4/27/20,127,36,288,7,6,0
4/28/20,273,18,538,7,6,0
4/29/20,267,47,846,7,6,0
4/30/20,274,50,851,7,6,0
5/1/20,66,43,736,7,6,0
5/2/20,69,43,735,7,6,0
5/3/20,75,45,723,7,6,0
5/4/20,73,48,520,7,6,0
5/5/20,73,52,520,7,6,0
5/6/20,84,45,521,7,5,0
5/7/20,67,46,511,7,5,0
5/8/20,13,45,491,7,5,0
5/9/20,15,45,491,7,5,0
5/10/20,16,48,490,7,5,0
5/11/20,10,48,492,7,5,0
5/12/20,10,46,487,10,5,0
5/13/20,13,49,501,10,6,0
5/14/20,10,58,499,13,6,1
5/15/20,24,49,512,15,6,1
5/16/20,35,49,511,18,6,1
5/17/20,63,50,541,18,6,1
5/18/20,105,50,540,19,6,1
5/19/20,177,54,544,27,6,1
5/20/20,80,54,622,27,6,1
5/21/20,48,59,589,27,6,1
5/22/20,76,62,638,31,10,1
5/23/20,34,59,661,33,10,1
5/24/20,42,59,680,35,10,1
5/25/20,95,59,680,39,12,1
5/26/20,70,66,735,39,12,1
5/27/20,50,66,661,40,12,1
5/28/20,163,61,952,43,12,2
5/29/20,368,71,973,43,12,2
5/30/20,299,71,973,44,14,2
5/31/20,253,76,965,44,15,2
6/1/20,212,72,989,46,15,2
6/2/20,578,71,997,54,15,2
6/3/20,316,74,1162,58,17,3
6/4/20,231,74,1165,59,17,3
6/5/20,353,81,1173,85,17,3
6/6/20,360,82,1150,92,17,3
6/7/20,49,78,1171,94,17,3
6/8/20,55,82,1169,94,17,3
6/9/20,63,79,1146,121,17,4
6/10/20,49,78,1139,145,17,4
6/11/20,49,79,1123,152,18,4
6/12/20,57,82,1128,190,19,4
6/13/20,57,82,1128,191,19,4
6/14/20,58,82,1134,219,19,4
6/15/20,22,78,1150,237,19,4
6/16/20,46,80,1288,239,63,4
6/17/20,423,82,1392,239,63,4
6/18/20,426,83,1409,250,63,4
6/19/20,51,83,1390,285,63,4
6/20/20,51,83,1390,304,63,4
6/21/20,75,99,1433,307,77,4
6/22/20,53,45,1446,316,84,4
6/23/20,58,46,1445,332,97,4
6/24/20,58,48,1448,337,118,4
6/25/20,93,101,1522,350,121,5
6/26/20,7185,99,1441,369,124,5
6/27/20,7185,99,1441,396,124,5
6/28/20,7144,99,1448,401,124,5
6/29/20,7194,100,1472,417,132,5
6/30/20,7191,86,1444,433,132,5
7/1/20,7148,23,1445,462,158,5
7/2/20,7144,33,1441,509,163,5
7/3/20,1654,33,1441,725,398,6
7/4/20,150,33,1441,743,402,6
7/5/20,214,50,1442,781,407,6
7/6/20,214,50,1442,857,485,6
7/7/20,641,48,1614,893,520,6
7/8/20,54,103,1570,928,555,6
7/9/20,8300,103,1544,940,556,6
7/10/20,8299,48,1544,991,556,6
