Date,p5_test,p5_isolation,p5_quar,p5_infected,p5_recovered,p5_death
7/20/20,10941,396,15299,4296,3009,10
7/21/20,10858,390,15233,4303,3058,10
7/22/20,10810,380,15152,4308,3068,10
7/23/20,10863,386,15039,4324,3207,10
7/24/20,11137,391,14972,4336,3213,10
7/25/20,11137,391,14972,4361,3383,10
7/26/20,11137,391,14972,4375,3388,10
7/27/20,10940,397,14752,4407,3388,10
7/28/20,10855,397,14697,4453,3426,10
7/29/20,10778,398,14664,4455,3428,10
7/30/20,10803,404,14629,4507,3454,10
7/31/20,10775,402,14576,4514,3458,10
8/1/20,10775,404,14565,4516,3458,10
8/2/20,10892,387,14483,4527,3458,10
8/3/20,10880,378,14457,4539,3470,10
8/4/20,10880,369,14433,4566,3475,10
8/5/20,10963,377,14419,4589,3500,10
8/6/20,10894,377,14447,4634,3529,10
8/7/20,10804,387,14506,4681,3674,10
8/8/20,10804,387,14494,4731,3706,10
8/9/20,10840,385,14616,4786,3706,10
8/10/20,11125,387,14673,4879,3708,11
8/11/20,10923,387,14798,4990,3748,11
8/12/20,10931,408,14842,5005,3760,12
8/13/20,10986,407,14899,5058,3763,12
8/14/20,10968,432,14887,5105,3764,12
8/15/20,11300,439,14885,5177,3766,13
8/16/20,10800,446,14859,5271,3766,13
8/17/20,10889,455,14917,5361,3783,13
8/18/20,10874,456,14894,5412,3804,15
8/19/20,11359,470,14716,5497,3804,16
8/20/20,10851,468,14679,5572,3804,16
8/21/20,11089,476,14597,5631,3831,17
8/22/20,10872,480,14592,5710,3886,17
8/23/20,11083,479,14582,5820,3962,17
8/24/20,10926,483,14399,5858,3962,21
8/25/20,10811,486,14376,6011,3979,22
8/26/20,10852,480,14343,6081,4005,22
8/27/20,10922,483,14340,6277,4086,25
8/28/20,10846,475,14335,6394,4092,26
8/29/20,10873,496,14346,6462,4300,27
8/30/20,10798,502,14344,6618,4427,30
8/31/20,10824,484,14346,6652,4615,31
9/1/20,10841,496,14371,6832,4776,31
9/2/20,10841,503,14375,6919,5029,31
9/3/20,10971,502,14388,7022,5072,34
9/4/20,10905,520,14403,7151,5297,38
9/5/20,10876,531,14410,7356,5470,40
9/6/20,10850,523,14392,7446,5565,40
9/7/20,10795,523,14397,7588,5698,41
9/8/20,10785,569,14419,7629,5935,42
9/9/20,143,1409,931,7734,6073,44
9/10/20,125,1392,1147,7985,6247,45
9/11/20,0,1506,1240,8233,6347,46
9/12/20,10,1516,1290,8436,6572,48
9/13/20,62,1574,1294,8563,6660,48
9/14/20,125,1574,1288,8738,6811,50
9/15/20,1,1646,1598,8868,6898,52
9/16/20,0,1644,1628,8988,6963,53
9/17/20,26,1716,1666,9066,7039,53
9/18/20,7,1716,1658,9271,7076,54
9/19/20,0,1719,1641,9334,7242,56
9/20/20,9,1691,1601,9543,7332,58
9/21/20,0,1683,1624,9631,7385,61
9/22/20,23,1734,1455,9896,7523,61
9/23/20,16,1744,1429,10071,7723,63
9/24/20,0,1765,1442,10276,7729,65
9/25/20,5,1767,1393,10421,7993,66
9/26/20,3,1759,1354,10593,8145,67
9/27/20,31,1750,1335,10753,8214,70
