Date,p5_test,p5_isolation,p5_quar,p5_infected,p5_recovered,p5_death
3/29/20,5,0,153,0,0,0
3/30/20,23,21,824,0,0,0
3/31/20,46,37,1323,0,0,0
4/1/20,24,39,1709,0,0,0
4/2/20,29,35,1993,0,0,0
4/3/20,51,39,2263,0,0,0
4/4/20,29,37,2158,0,0,0
4/5/20,152,32,2308,0,0,0
4/6/20,36,36,2342,0,0,0
4/7/20,49,46,2366,0,0,0
4/8/20,49,57,1952,0,0,0
4/9/20,61,68,1930,0,0,0
4/10/20,82,48,1853,0,0,0
4/11/20,80,49,1746,0,0,0
4/12/20,81,53,1997,0,0,0
4/13/20,25,52,1636,0,0,0
4/14/20,45,108,1724,0,0,0
4/15/20,69,71,1400,0,0,0
4/16/20,69,71,1400,0,0,0
4/17/20,28,71,1547,0,0,0
4/18/20,89,74,1765,0,0,0
4/19/20,34,71,2181,0,0,0
4/20/20,36,70,2593,0,0,0
4/21/20,27,54,3454,0,0,0
4/22/20,102,60,5167,0,0,0
4/23/20,74,61,6501,0,0,0
4/24/20,9,63,7956,0,0,0
4/25/20,72,72,9693,0,0,0
4/26/20,228,63,11202,0,0,0
4/27/20,4,63,12164,0,0,0
4/28/20,0,62,12513,0,0,0
4/29/20,186,58,12992,0,0,0
4/30/20,397,60,12905,0,0,0
5/1/20,157,57,12743,2,0,0
5/2/20,110,51,12947,2,0,0
5/3/20,330,61,12403,17,0,0
5/4/20,138,64,12237,17,0,0
5/5/20,141,60,11685,24,0,0
5/6/20,140,63,12084,24,0,0
5/7/20,153,71,11185,26,0,0
5/8/20,379,74,10880,27,0,0
5/9/20,508,71,10791,30,0,0
5/10/20,169,74,10690,30,0,0
5/11/20,166,82,10565,53,0,0
5/12/20,514,99,10611,70,0,0
5/13/20,431,118,10918,92,1,0
5/14/20,717,118,11056,93,1,0
5/15/20,487,119,11984,104,1,0
5/16/20,640,133,12422,108,1,0
5/17/20,551,135,12849,109,1,1
5/18/20,637,137,13150,170,1,1
5/19/20,638,141,13559,174,1,1
5/20/20,826,141,13805,193,1,1
5/21/20,911,143,14569,198,1,2
5/22/20,990,141,15622,221,22,2
5/23/20,1025,144,16749,271,22,2
5/24/20,976,151,17678,281,32,2
5/25/20,904,145,19126,292,35,2
5/26/20,1028,171,20391,331,35,2
5/27/20,1278,175,20675,365,38,2
5/28/20,1126,190,21564,369,38,2
5/29/20,1187,191,22495,434,38,3
5/30/20,1326,1491,23428,548,39,3
5/31/20,1688,202,28016,561,39,3
6/1/20,1733,215,28312,633,39,3
6/2/20,1685,232,31384,698,39,3
6/3/20,2086,271,31136,811,66,4
6/4/20,2228,298,30660,897,66,4
6/5/20,2715,320,30822,965,78,4
6/6/20,2681,327,30878,1064,78,4
6/7/20,2988,374,31590,1084,78,4
6/8/20,3325,378,32151,1179,78,4
6/9/20,3725,300,31691,1236,78,4
6/10/20,3664,393,30800,1318,78,4
6/11/20,3630,397,30483,1394,111,4
6/12/20,3813,405,29680,1447,111,5
6/13/20,3799,420,29085,1523,111,5
6/14/20,4016,423,28304,1638,111,6
6/15/20,4591,459,32881,1744,111,6
6/16/20,4743,545,32186,1824,264,6
6/17/20,4721,642,32042,1957,264,7
6/18/20,5000,644,31723,2105,264,7
6/19/20,5019,643,31508,2212,305,7
6/20/20,4609,687,31508,2298,305,7
6/21/20,5225,422,30489,2471,364,8
6/22/20,5685,722,30108,2686,524,8
6/23/20,6112,717,29039,2813,525,8
6/24/20,6515,855,28743,2931,528,8
6/25/20,6965,944,28422,3088,562,8
6/26/20,7834,932,27855,3316,580,9
6/27/20,8436,1003,27747,3470,610,9
6/28/20,8379,1019,27017,3606,649,9
6/29/20,8566,1041,26433,3765,657,9
6/30/20,10059,1177,25360,3813,658,9
7/1/20,10330,1054,25312,3849,1176,9
7/2/20,10658,955,24769,3859,1440,9
7/3/20,10704,932,24611,3996,1639,9
7/4/20,10805,947,24385,4047,1758,10
7/5/20,10908,931,24322,4073,1765,10
7/6/20,11043,941,16568,4089,1787,10
7/7/20,11065,875,16388,4112,1982,10
7/8/20,10945,808,16199,4128,1998,10
7/9/20,10849,542,16158,4137,2027,10
7/10/20,10764,543,16121,4151,2088,10
7/11/20,10761,507,16013,4161,2241,10
7/12/20,10805,435,15964,4163,2261,10
7/13/20,10755,434,15916,4177,2625,10
7/14/20,10755,425,15700,4197,2625,10
7/15/20,10850,404,15690,4198,2795,10
7/16/20,10915,393,15596,4210,2807,10
7/17/20,10778,392,15545,4240,2929,10
7/18/20,10929,386,15507,4244,2972,10
7/19/20,11155,398,15415,4277,2976,10
